service_id,date,exception_type
L7A9_L7A1,20250326,1
L7A9_L7A2,20250326,1
L7A9_L7A3,20250326,1
L7A9_L7A4,20250326,1
L7A9_L7A5,20250326,1
L7A9_L7A6,20250326,1
L7A9_L7A7,20250326,1
L7A9_L7A8,20250326,1
L7A9_L7A9,20250326,1
L7A9_L7A1,20250327,1
L7A9_L7A2,20250327,1
L7A9_L7A3,20250327,1
L7A9_L7A4,20250327,1
L7A9_L7A5,20250327,1
L7A9_L7A6,20250327,1
L7A9_L7A7,20250327,1
L7A9_L7A8,20250327,1
L7A9_L7A9,20250327,1
L7A9_L7A1,20250328,1
L7A9_L7A2,20250328,1
L7A9_L7A3,20250328,1
L7A9_L7A4,20250328,1
L7A9_L7A5,20250328,1
L7A9_L7A6,20250328,1
L7A9_L7A7,20250328,1
L7A9_L7A8,20250328,1
L7A9_L7A9,20250328,1
L7A9_L7A1,20250331,1
L7A9_L7A2,20250331,1
L7A9_L7A3,20250331,1
L7A9_L7A4,20250331,1
L7A9_L7A5,20250331,1
L7A9_L7A6,20250331,1
L7A9_L7A7,20250331,1
L7A9_L7A8,20250331,1
L7A9_L7A9,20250331,1
L7A9_L7A1,20250401,1
L7A9_L7A2,20250401,1
